time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,35,11,0,0
2026-06-12 00:00:00+00:00,26,7,1,1
2026-06-13 00:00:00+00:00,29,7,0,0
2026-06-14 00:00:00+00:00,44,11,0,0
2026-06-15 00:00:00+00:00,34,9,0,0
2026-06-16 00:00:00+00:00,31,7,0,0
2026-06-17 00:00:00+00:00,15,6,1,1
2026-06-18 00:00:00+00:00,32,8,0,0
2026-06-19 00:00:00+00:00,26,6,0,0
2026-06-20 00:00:00+00:00,172,10,0,0
2026-06-21 00:00:00+00:00,14,5,0,0
2026-06-22 00:00:00+00:00,2,2,5,1
2026-06-23 00:00:00+00:00,9,4,0,0
2026-06-24 00:00:00+00:00,9,4,0,0
