time_iso8601,stars_cumulative
2025-01-08 00:00:00+00:00,1
2025-04-17 00:00:00+00:00,2
2025-05-08 00:00:00+00:00,3
2025-08-27 00:00:00+00:00,4
2025-09-02 00:00:00+00:00,5
2025-09-21 00:00:00+00:00,6
2025-11-07 00:00:00+00:00,7
2025-12-14 00:00:00+00:00,8
2026-04-09 00:00:00+00:00,9
2026-05-07 00:00:00+00:00,10
